Time Stamp,Time Zone,Fuel Category,Gen MW
07/12/2024 01:10:00,EDT,Hydro,2536.0
07/12/2024 01:15:00,EDT,Dual Fuel,4906.0
07/12/2024 01:15:00,EDT,Natural Gas,4517.0
07/12/2024 01:15:00,EDT,Nuclear,3247.0
07/12/2024 01:15:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:15:00,EDT,Other Renewables,241.0
07/12/2024 01:15:00,EDT,Wind,138.0
07/12/2024 01:15:00,EDT,Hydro,2439.0
07/12/2024 01:20:00,EDT,Dual Fuel,4919.0
07/12/2024 01:20:00,EDT,Natural Gas,4479.0
07/12/2024 01:20:00,EDT,Nuclear,3246.0
07/12/2024 01:20:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:20:00,EDT,Other Renewables,244.0
07/12/2024 01:20:00,EDT,Wind,130.0
07/12/2024 01:20:00,EDT,Hydro,2447.0
07/12/2024 01:25:00,EDT,Dual Fuel,4932.0
07/12/2024 01:25:00,EDT,Natural Gas,4427.0
07/12/2024 01:25:00,EDT,Nuclear,3246.0
07/12/2024 01:25:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:25:00,EDT,Other Renewables,240.0
07/12/2024 01:25:00,EDT,Wind,122.0
07/12/2024 01:25:00,EDT,Hydro,2454.0
07/12/2024 01:30:00,EDT,Dual Fuel,4940.0
07/12/2024 01:30:00,EDT,Natural Gas,4387.0
07/12/2024 01:30:00,EDT,Nuclear,3247.0
07/12/2024 01:30:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:30:00,EDT,Other Renewables,240.0
07/12/2024 01:30:00,EDT,Wind,114.0
07/12/2024 01:30:00,EDT,Hydro,2463.0
07/12/2024 01:35:00,EDT,Dual Fuel,4884.0
07/12/2024 01:35:00,EDT,Natural Gas,4368.0
07/12/2024 01:35:00,EDT,Nuclear,3248.0
07/12/2024 01:35:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:35:00,EDT,Other Renewables,241.0
07/12/2024 01:35:00,EDT,Wind,47.0
07/12/2024 01:35:00,EDT,Hydro,2449.0
07/12/2024 01:40:00,EDT,Dual Fuel,4896.0
07/12/2024 01:40:00,EDT,Natural Gas,4312.0
07/12/2024 01:40:00,EDT,Nuclear,3247.0
07/12/2024 01:40:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:40:00,EDT,Other Renewables,242.0
07/12/2024 01:40:00,EDT,Wind,28.0
07/12/2024 01:40:00,EDT,Hydro,2464.0
07/12/2024 01:45:00,EDT,Dual Fuel,4901.0
07/12/2024 01:45:00,EDT,Natural Gas,4289.0
07/12/2024 01:45:00,EDT,Nuclear,3247.0
07/12/2024 01:45:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:45:00,EDT,Other Renewables,233.0
07/12/2024 01:45:00,EDT,Wind,29.0
07/12/2024 01:45:00,EDT,Hydro,2456.0
07/12/2024 01:50:00,EDT,Dual Fuel,4833.0
07/12/2024 01:50:00,EDT,Natural Gas,4284.0
07/12/2024 01:50:00,EDT,Nuclear,3249.0
07/12/2024 01:50:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:50:00,EDT,Other Renewables,232.0
07/12/2024 01:50:00,EDT,Wind,29.0
07/12/2024 01:50:00,EDT,Hydro,2445.0
07/12/2024 01:55:00,EDT,Dual Fuel,4773.0
07/12/2024 01:55:00,EDT,Natural Gas,4272.0
07/12/2024 01:55:00,EDT,Nuclear,3248.0
07/12/2024 01:55:00,EDT,Other Fossil Fuels,8.0
07/12/2024 01:55:00,EDT,Other Renewables,242.0
07/12/2024 01:55:00,EDT,Wind,62.0
07/12/2024 01:55:00,EDT,Hydro,2461.0
07/12/2024 02:00:00,EDT,Dual Fuel,4746.0
07/12/2024 02:00:00,EDT,Natural Gas,4359.0
07/12/2024 02:00:00,EDT,Nuclear,3248.0
07/12/2024 02:00:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:00:00,EDT,Other Renewables,244.0
07/12/2024 02:00:00,EDT,Wind,117.0
07/12/2024 02:00:00,EDT,Hydro,2509.0
07/12/2024 02:05:00,EDT,Dual Fuel,4735.0
07/12/2024 02:05:00,EDT,Natural Gas,4483.0
07/12/2024 02:05:00,EDT,Nuclear,3248.0
07/12/2024 02:05:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:05:00,EDT,Other Renewables,241.0
07/12/2024 02:05:00,EDT,Wind,115.0
07/12/2024 02:05:00,EDT,Hydro,2529.0
07/12/2024 02:10:00,EDT,Dual Fuel,4690.0
07/12/2024 02:10:00,EDT,Natural Gas,4476.0
07/12/2024 02:10:00,EDT,Nuclear,3248.0
07/12/2024 02:10:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:10:00,EDT,Other Renewables,242.0
07/12/2024 02:10:00,EDT,Wind,112.0
07/12/2024 02:10:00,EDT,Hydro,2545.0
07/12/2024 02:15:00,EDT,Dual Fuel,4633.0
07/12/2024 02:15:00,EDT,Natural Gas,4483.0
07/12/2024 02:15:00,EDT,Nuclear,3247.0
07/12/2024 02:15:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:15:00,EDT,Other Renewables,247.0
07/12/2024 02:15:00,EDT,Wind,100.0
07/12/2024 02:15:00,EDT,Hydro,2582.0
07/12/2024 02:20:00,EDT,Dual Fuel,4672.0
07/12/2024 02:20:00,EDT,Natural Gas,4486.0
07/12/2024 02:20:00,EDT,Nuclear,3248.0
07/12/2024 02:20:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:20:00,EDT,Other Renewables,246.0
07/12/2024 02:20:00,EDT,Wind,95.0
07/12/2024 02:20:00,EDT,Hydro,2598.0
07/12/2024 02:25:00,EDT,Dual Fuel,4722.0
07/12/2024 02:25:00,EDT,Natural Gas,4485.0
07/12/2024 02:25:00,EDT,Nuclear,3247.0
07/12/2024 02:25:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:25:00,EDT,Other Renewables,239.0
07/12/2024 02:25:00,EDT,Wind,74.0
07/12/2024 02:25:00,EDT,Hydro,2579.0
07/12/2024 02:30:00,EDT,Dual Fuel,4741.0
07/12/2024 02:30:00,EDT,Natural Gas,4500.0
07/12/2024 02:30:00,EDT,Nuclear,3248.0
07/12/2024 02:30:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:30:00,EDT,Other Renewables,235.0
07/12/2024 02:30:00,EDT,Wind,41.0
07/12/2024 02:30:00,EDT,Hydro,2577.0
07/12/2024 02:35:00,EDT,Dual Fuel,4722.0
07/12/2024 02:35:00,EDT,Natural Gas,4513.0
07/12/2024 02:35:00,EDT,Nuclear,3248.0
07/12/2024 02:35:00,EDT,Other Fossil Fuels,8.0
07/12/2024 02:35:00,EDT,Other Renewables,237.0
07/12/2024 02:35:00,EDT,Wind,12.0
07/12/2024 02:35:00,EDT,Hydro,2541.0
