"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 00:35:00","EDT","N.Y.C.",61761,7104.7695
"07/12/2024 00:35:00","EDT","NORTH",61755,644.9677
"07/12/2024 00:35:00","EDT","WEST",61752,1793.158
"07/12/2024 00:40:00","EDT","CAPITL",61757,1555.5027
"07/12/2024 00:40:00","EDT","CENTRL",61754,1736.3789
"07/12/2024 00:40:00","EDT","DUNWOD",61760,837.5277
"07/12/2024 00:40:00","EDT","GENESE",61753,1117.1567
"07/12/2024 00:40:00","EDT","HUD VL",61758,1292.8044
"07/12/2024 00:40:00","EDT","LONGIL",61762,2885.9456
"07/12/2024 00:40:00","EDT","MHK VL",61756,820.8038
"07/12/2024 00:40:00","EDT","MILLWD",61759,366.6206
"07/12/2024 00:40:00","EDT","N.Y.C.",61761,7070.373
"07/12/2024 00:40:00","EDT","NORTH",61755,662.3207
"07/12/2024 00:40:00","EDT","WEST",61752,1761.6975
"07/12/2024 00:45:00","EDT","CAPITL",61757,1553.8765
"07/12/2024 00:45:00","EDT","CENTRL",61754,1708.8174
"07/12/2024 00:45:00","EDT","DUNWOD",61760,833.3757
"07/12/2024 00:45:00","EDT","GENESE",61753,1114.9468
"07/12/2024 00:45:00","EDT","HUD VL",61758,1279.4517
"07/12/2024 00:45:00","EDT","LONGIL",61762,2859.932
"07/12/2024 00:45:00","EDT","MHK VL",61756,849.4193
"07/12/2024 00:45:00","EDT","MILLWD",61759,351.2477
"07/12/2024 00:45:00","EDT","N.Y.C.",61761,7071.2207
"07/12/2024 00:45:00","EDT","NORTH",61755,647.6326
"07/12/2024 00:45:00","EDT","WEST",61752,1764.2505
"07/12/2024 00:50:00","EDT","CAPITL",61757,1534.3625
"07/12/2024 00:50:00","EDT","CENTRL",61754,1703.6309
"07/12/2024 00:50:00","EDT","DUNWOD",61760,826.6077
"07/12/2024 00:50:00","EDT","GENESE",61753,1108.1984
"07/12/2024 00:50:00","EDT","HUD VL",61758,1277.3245
"07/12/2024 00:50:00","EDT","LONGIL",61762,2841.0525
"07/12/2024 00:50:00","EDT","MHK VL",61756,832.7022
"07/12/2024 00:50:00","EDT","MILLWD",61759,351.2256
"07/12/2024 00:50:00","EDT","N.Y.C.",61761,7032.729
"07/12/2024 00:50:00","EDT","NORTH",61755,647.2821
