l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
263,165359319,141726016,230000,3,line,60,,,22181.0,,,,,Yes
264,165359319,39560071,230000,3,line,60,,,1369.0,,,,,
265,79249627,32867671,230000,6,line,60,,,31989.0,,,,,Yes
266,24376540,24376544,230000,3,line,60,,,347.0,,,,,
267,24376541,24376544,230000,3,line,60,,,200.0,,,,,
268,24376544,181709666,230000,6,line,60,,,77992.0,0.08,0.32,11.5,1.3,Yes
269,24376544,36250573,230000,6,line,60,,,15730.0,0.08,0.32,11.5,1.3,Yes
270,24376544,33068400,230000,6,line,60,,,44529.0,0.08,0.32,11.5,1.3,Yes
271,24376544,24388861,230000,6,line,60,,,85681.0,0.08,0.32,11.5,1.3,Yes
272,28517608,518059531,230000,6,line,,,SMUD,6585.0,0.08,0.32,11.5,1.3,Yes
273,28517608,148290846,230000,6,line,,,PG&E/SMUD-SMUD,36784.0,0.08,0.32,11.5,1.3,Yes
274,28517608,148224069,230000,6,line,,,PG&E/SMUD-SMUD,82958.0,0.08,0.32,11.5,1.3,Yes
275,28517608,32050965,230000,6,line,,,PG&E/SMUD-SMUD,69755.0,0.08,0.32,11.5,1.3,Yes
276,28517608,149630801,230000,6,line,,,PG&E/SMUD-SMUD,52032.0,0.08,0.32,11.5,1.3,Yes
277,28517608,149769307,230000,6,line,,,PG&E/SMUD-SMUD,61436.0,0.08,0.32,11.5,1.3,Yes
278,28517608,149760444,230000,6,line,,,PG&E/SMUD-SMUD,70630.0,0.08,0.32,11.5,1.3,Yes
279,167005121,167005130,230000,3,line,,,,135.0,,,,,
280,35732660,478160148,230000,3,line,60,,,72.0,0.16,0.64,5.75,0.65,
281,38311176,23837624,230000,6,line,,,PG&E,38063.0,0.08,0.32,11.5,1.3,Yes
282,23988495,181864356,230000,6,line,60,,,5529.0,,,,,Yes
283,32526610,32943573,230000,6,line,,,WAPA-SMUD,49797.0,0.04,0.16,23.0,2.6,Yes
284,32526610,93950956,230000,6,line,,,WAPA-SMUD,7631.0,0.04,0.16,23.0,2.6,Yes
285,93581443,79734755,230000,3,line,,,,81079.0,0.16,0.64,5.75,0.65,
286,183206679,425352737,230000,6,line,60,,,4409.0,,,,,Yes
287,150412591,150412593,230000,3,line,60,,,4060.0,,,,,
288,114958126,31369697,230000,,line,,,PG&E,5487.0,,,,,
289,24049455,23837624,230000,6,line,60,,PG&E,9338.0,0.08,0.32,11.5,1.3,Yes
290,24049455,24283011,230000,6,line,60,,,20619.0,0.08,0.32,11.5,1.3,Yes
291,150412593,150420531,230000,3,line,,,WAPA,9921.0,0.16,0.64,5.75,0.65,
292,345602357,52183964,230000,6,line,60,,,19587.0,,,,,Yes
293,183206715,599653291,230000,3,line,60,,,877.0,,,,,
294,66376509,66376512,230000,6,line,60,,PG&E-Pacific Gas & Electric,7747.0,0.08,0.32,11.5,1.3,Yes
295,66376509,478160148,230000,6,line,60,,Pacific Gas & Electric,27881.0,0.08,0.32,11.5,1.3,Yes
296,183206719,33297798,230000,6,cable,60,,,1768.0,,,,,
297,64083268,77275131,230000,3,line,60,,,82255.0,,,,,
298,64083268,79734755,230000,3,line,,,,81427.0,0.16,0.64,5.75,0.65,
299,33106247,478160148,230000,6,line,,-Pittsburg - Sobrante 230kV transmission line,,37778.0,0.04,0.16,23.0,2.6,Yes
300,166549836,166549837,230000,3,line,60,,,237.0,,,,,
301,166549837,166549840,230000,3,line,60,,,22821.0,,,,,
302,166549838,166549840,230000,3,line,60,,,163.0,,,,,
303,166549838,166649172,230000,3,line,60,,,24206.0,,,,,
304,345602387,345602370,230000,,line,,,,19254.0,,,,,
305,32867671,181457829,230000,6,line,,,Northern California Power Agency,63599.0,0.08,0.32,11.5,1.3,Yes
306,32867671,182791482,230000,6,line,60,,PG&E,33265.0,0.08,0.32,11.5,1.3,Yes
307,24263002,478160148,230000,6,line,60,,,35477.0,0.08,0.32,11.5,1.3,Yes
308,480697705,24333232,230000,6,line,60,,,43626.0,0.08,0.32,11.5,1.3,Yes
309,480697705,320842292,230000,6,line,60,,,13166.0,0.08,0.32,11.5,1.3,Yes
310,71817088,31871976,230000,6,line,60,,Los Angeles Department of Water and Power,11169.0,0.08,0.32,11.5,1.3,
311,24397698,643024351,230000,6,line,60,,,22963.0,,,,,
312,99645329,105185729,230000,6,line,,,,44809.0,,,,,
313,99645329,167005130,230000,,line,,,,21654.0,,,,,
314,99645329,56452459,230000,6,line,,,San Diego Gas & Electric,39495.0,,,,,Yes
315,37121428,93950956,230000,6,line,,,SMUD,34806.0,0.08,0.32,11.5,1.3,Yes
316,37121428,37112796,230000,6,line,,,SMUD,30522.0,0.08,0.32,11.5,1.3,Yes
317,32547223,32943573,230000,6,line,60,,WAPA,42757.0,0.04,0.16,23.0,2.6,Yes
318,181864356,24057536,230000,3,line,60,,,417.0,,,,,
319,24333232,93251033,230000,6,line,60,,,21790.0,0.08,0.32,11.5,1.3,Yes
320,32943573,86576027,230000,3,line,60,,,6443.0,0.08,0.32,11.5,1.3,
