l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
152,28875096,103260059,230000,6,line,60,,PG&E,35882.0,0.08,0.32,11.5,1.3,Yes
153,28875096,25793704,230000,,line,,Newark - Ravenswood 230kV transmission line,,14294.0,,,,,
154,28875096,23805620,230000,6,line,60,,PG&E-Pacific Gas & Electric Co.-Pacific Gas & Electric,54414.0,0.04,0.16,23.0,2.6,Yes
155,166649166,166649172,230000,6,line,60,,,798.0,,,,,Yes
156,166649166,77275282,230000,6,line,60,,,83144.0,,,,,Yes
157,166649166,77275227,230000,3,line,60,,,19983.0,,,,,
158,166649166,166658928,230000,3,line,60,,,68691.0,,,,,
159,93288988,181864309,230000,3,line,60,,,159.0,,,,,
160,93288988,182604563,230000,6,line,60,,,89252.0,,,,,Yes
161,93288988,93251033,230000,6,line,60,,,129635.0,,,,,Yes
162,93288988,164289720,230000,6,line,60,,,94160.0,,,,,Yes
163,93288988,182619786,230000,6,line,60,,,94692.0,,,,,Yes
164,93288988,23988495,230000,6,line,60,,,59697.0,0.08,0.32,11.5,1.3,Yes
165,93288988,182108228,230000,6,line,60,,,130954.0,0.08,0.32,11.5,1.3,Yes
166,29426718,33046461,230000,6,line,60,,,24947.0,0.04,0.16,23.0,2.6,Yes
167,29426718,33106247,230000,9,line,60,,,77088.0,0.0266666666667,0.106666666667,34.5,3.9,Yes
168,29426718,183206719,230000,12,line,60,,,20302.0,,,,,Yes
169,29426718,170490300,230000,12,line,60,,,42108.0,,,,,Yes
170,29426718,33292212,230000,6,line,60,,,29027.0,0.08,0.32,11.5,1.3,Yes
171,29426718,24376544,230000,6,line,60,,,65781.0,0.08,0.32,11.5,1.3,Yes
172,99650319,116440984,230000,6,line,,Talega-Escondido,San Diego Gas & Electric,82150.0,,,,,
173,33111643,398233739,230000,6,line,,,,1993.0,0.04,0.16,23.0,2.6,Yes
174,33111643,33108052,230000,6,line,60,,PG&E-Pacific Gas & Electric,78044.0,0.08,0.32,11.5,1.3,Yes
175,33111643,613151166,230000,6,line,60,,PG&E-Pacific Gas & Electric,61193.0,0.08,0.32,11.5,1.3,Yes
176,33111643,478160148,230000,6,line,60,,PG&E-Pacific Gas & Electric,57317.0,0.08,0.32,11.5,1.3,Yes
177,33111643,24294714,230000,6,line,,,,19993.0,0.08,0.32,11.5,1.3,Yes
178,497454218,77275243,230000,3,line,60,,,3755.0,0.16,0.64,5.75,0.65,
179,27925546,31369697,230000,6,line,60,,PG&E,8811.0,0.04,0.16,23.0,2.6,
180,177592878,93128755,230000,3,line,60,,,75677.0,0.16,0.64,5.75,0.65,
181,93128755,93128776,230000,6,line,60,,,14156.0,0.08,0.32,11.5,1.3,Yes
182,93128755,181693250,230000,6,line,60,,,77791.0,0.08,0.32,11.5,1.3,Yes
183,93128755,181709666,230000,6,line,60,,,115209.0,0.08,0.32,11.5,1.3,Yes
184,93128755,181693225,230000,6,line,60,,,95373.0,0.08,0.32,11.5,1.3,Yes
185,93128755,29989554,230000,3,line,60,,WAPA,181275.0,0.16,0.64,5.75,0.65,
186,93128755,150583901,230000,6,line,,,WAPA,16034.0,0.08,0.32,11.5,1.3,Yes
187,93128755,150420531,230000,3,line,,,WAPA,31105.0,0.16,0.64,5.75,0.65,
188,119718455,167005130,230000,3,line,,,,6220.0,,,,,
189,119718455,25453503,230000,,line,,,,18516.0,,,,,
190,32707508,552653455,230000,6,line,60,,Pacific Gas & Electric,47394.0,0.04,0.16,23.0,2.6,Yes
191,32707508,23837624,230000,6,line,60,,PG&E,38560.0,0.04,0.16,23.0,2.6,Yes
192,32707508,153674102,230000,6,line,60,,,41557.0,0.04,0.16,23.0,2.6,Yes
193,32707508,32707934,230000,6,line,60,,,39928.0,0.04,0.16,23.0,2.6,Yes
